"Id","WnvPresent"
"1","0.008"
"2","0.008"
"3","0.004"
"4","0.004"
"5","0.004"
"6","0.004"
"7","0.004"
"8","0.004"
"9","0.01"
"10","0.008"
"11","0.004"
"12","0.004"
"13","0.004"
"14","0.004"
"15","0.004"
"16","0.004"
"17","0.008"
"18","0.006"
"19","0.008"
"20","0.008"
"21","0.008"
"22","0.008"
"23","0.008"
"24","0.008"
"25","0.002"
"26","0.002"
"27","0.002"
"28","0.002"
"29","0.002"
"30","0.002"
"31","0.002"
"32","0.002"
"33","0.002"
"34","0.002"
"35","0.002"
"36","0.002"
"37","0.002"
"38","0.002"
"39","0.002"
"40","0.002"
"41","0.002"
"42","0.002"
"43","0.002"
"44","0.002"
"45","0.002"
"46","0.002"
"47","0.002"
"48","0.002"
"49","0.004"
"50","0.004"
"51","0.004"
"52","0.004"
"53","0.004"
"54","0.004"
"55","0.004"
"56","0.004"
"57","0.002"
"58","0.004"
"59","0.002"
"60","0.002"
"61","0.002"
"62","0.002"
"63","0.002"
"64","0.002"
"65","0.002"
"66","0.002"
"67","0.002"
"68","0.002"
"69","0.002"
"70","0.002"
"71","0.002"
"72","0.002"
"73","0.01"
"74","0.016"
"75","0.01"
"76","0.01"
"77","0.01"
"78","0.01"
"79","0.01"
"80","0.01"
"81","0.002"
"82","0.002"
"83","0.002"
"84","0.002"
"85","0.002"
"86","0.002"
"87","0.002"
"88","0.002"
"89","0.006"
"90","0.008"
"91","0.006"
"92","0.006"
"93","0.006"
"94","0.006"
"95","0.006"
"96","0.006"
"97","0.004"
"98","0.004"
"99","0.004"
"100","0.004"
"101","0.004"
"102","0.004"
"103","0.004"
"104","0.004"
"105","0.002"
"106","0.002"
"107","0.002"
"108","0.002"
"109","0.002"
"110","0.002"
"111","0.002"
"112","0.002"
"113","0.014"
"114","0.016"
"115","0.014"
"116","0.014"
"117","0.014"
"118","0.014"
"119","0.014"
"120","0.014"
"121","0.006"
"122","0.002"
"123","0.002"
"124","0.002"
"125","0.002"
"126","0.002"
"127","0.002"
"128","0.002"
"129","0.006"
"130","0.008"
"131","0.004"
"132","0.004"
"133","0.004"
"134","0.004"
"135","0.004"
"136","0.004"
"137","0.002"
"138","0.002"
"139","0.002"
"140","0.002"
"141","0.002"
"142","0.002"
"143","0.002"
"144","0.002"
"145","0.006"
"146","0.006"
"147","0.004"
"148","0.004"
"149","0.004"
"150","0.004"
"151","0.004"
"152","0.004"
"153","0.006"
"154","0.008"
"155","0.004"
"156","0.004"
"157","0.004"
"158","0.004"
"159","0.004"
"160","0.004"
"161","0.012"
"162","0.01"
"163","0.008"
"164","0.008"
"165","0.008"
"166","0.008"
"167","0.008"
"168","0.008"
"169","0.002"
"170","0.008"
"171","0.002"
"172","0.002"
"173","0.002"
"174","0.002"
"175","0.002"
"176","0.002"
"177","0.004"
"178","0.006"
"179","0.002"
"180","0.002"
"181","0.002"
"182","0.002"
"183","0.002"
"184","0.002"
"185","0.002"
"186","0.004"
"187","0.002"
"188","0.002"
"189","0.002"
"190","0.002"
"191","0.002"
"192","0.002"
"193","0.01"
"194","0.008"
"195","0.004"
"196","0.004"
"197","0.004"
"198","0.004"
"199","0.004"
"200","0.004"
"201","0.002"
"202","0.008"
"203","0.002"
"204","0.002"
"205","0.002"
"206","0.002"
"207","0.002"
"208","0.002"
"209","0.004"
"210","0.008"
"211","0.004"
"212","0.004"
"213","0.004"
"214","0.004"
"215","0.004"
"216","0.004"
"217","0.002"
"218","0.002"
"219","0.002"
"220","0.002"
"221","0.002"
"222","0.002"
"223","0.002"
"224","0.002"
"225","0.004"
"226","0.004"
"227","0.004"
"228","0.004"
"229","0.004"
"230","0.004"
"231","0.004"
"232","0.004"
"233","0"
"234","0"
"235","0"
"236","0"
"237","0"
"238","0"
"239","0"
"240","0"
"241","0.008"
"242","0.008"
"243","0.004"
"244","0.004"
"245","0.004"
"246","0.004"
"247","0.004"
"248","0.004"
"249","0.006"
"250","0.008"
"251","0.004"
"252","0.004"
"253","0.004"
"254","0.004"
"255","0.004"
"256","0.004"
"257","0.006"
"258","0.006"
"259","0.006"
"260","0.006"
"261","0.006"
"262","0.006"
"263","0.006"
"264","0.006"
"265","0.002"
"266","0.008"
"267","0.002"
"268","0.002"
"269","0.002"
"270","0.002"
"271","0.002"
"272","0.002"
"273","0.002"
"274","0.008"
"275","0.002"
"276","0.002"
"277","0.002"
"278","0.002"
"279","0.002"
"280","0.002"
"281","0.004"
"282","0.002"
"283","0.002"
"284","0.002"
"285","0.002"
"286","0.002"
"287","0.002"
"288","0.002"
"289","0.006"
"290","0.004"
"291","0.004"
"292","0.004"
"293","0.004"
"294","0.004"
"295","0.004"
"296","0.004"
"297","0.006"
"298","0.006"
"299","0.004"
"300","0.004"
"301","0.004"
"302","0.004"
"303","0.004"
"304","0.004"
"305","0.002"
"306","0.006"
"307","0.002"
"308","0.002"
"309","0.002"
"310","0.002"
"311","0.002"
"312","0.002"
"313","0.004"
"314","0.006"
"315","0.002"
"316","0.002"
"317","0.002"
"318","0.002"
"319","0.002"
"320","0.002"
"321","0.002"
"322","0.004"
"323","0.002"
"324","0.002"
"325","0.002"
"326","0.002"
"327","0.002"
"328","0.002"
"329","0.006"
"330","0.006"
"331","0.006"
"332","0.006"
"333","0.006"
"334","0.006"
"335","0.006"
"336","0.006"
"337","0.002"
"338","0.006"
"339","0.002"
"340","0.002"
"341","0.002"
"342","0.002"
"343","0.002"
"344","0.002"
"345","0.004"
"346","0.006"
"347","0.004"
"348","0.004"
"349","0.004"
"350","0.004"
"351","0.004"
"352","0.004"
"353","0.002"
"354","0.006"
"355","0.002"
"356","0.002"
"357","0.002"
"358","0.002"
"359","0.002"
"360","0.002"
"361","0.008"
"362","0.01"
"363","0.006"
"364","0.006"
"365","0.006"
"366","0.006"
"367","0.006"
"368","0.006"
"369","0.006"
"370","0.008"
"371","0.004"
"372","0.004"
"373","0.004"
"374","0.004"
"375","0.004"
"376","0.004"
"377","0.018"
"378","0.014"
"379","0.014"
"380","0.014"
"381","0.014"
"382","0.014"
"383","0.014"
"384","0.014"
"385","0.002"
"386","0.006"
"387","0.002"
"388","0.002"
"389","0.002"
"390","0.002"
"391","0.002"
"392","0.002"
"393","0.002"
"394","0.004"
"395","0.002"
"396","0.002"
"397","0.002"
"398","0.002"
"399","0.002"
"400","0.002"
"401","0.006"
"402","0.006"
"403","0.004"
"404","0.004"
"405","0.004"
"406","0.004"
"407","0.004"
"408","0.004"
"409","0.004"
"410","0.008"
"411","0.004"
"412","0.004"
"413","0.004"
"414","0.004"
"415","0.004"
"416","0.004"
"417","0.004"
"418","0.006"
"419","0.004"
"420","0.004"
"421","0.004"
"422","0.004"
"423","0.004"
"424","0.004"
"425","0.002"
"426","0.008"
"427","0.002"
"428","0.002"
"429","0.002"
"430","0.002"
"431","0.002"
"432","0.002"
"433","0.004"
"434","0.004"
"435","0.004"
"436","0.004"
"437","0.004"
"438","0.004"
"439","0.004"
"440","0.004"
"441","0.004"
"442","0.012"
"443","0.006"
"444","0.006"
"445","0.006"
"446","0.006"
"447","0.006"
"448","0.006"
"449","0.006"
"450","0.016"
"451","0.006"
"452","0.006"
"453","0.006"
"454","0.006"
"455","0.006"
"456","0.006"
"457","0"
"458","0"
"459","0"
"460","0"
"461","0"
"462","0"
"463","0"
"464","0"
"465","0.002"
"466","0.002"
"467","0.002"
"468","0.002"
"469","0.002"
"470","0.002"
"471","0.002"
"472","0.002"
"473","0.008"
"474","0.008"
"475","0.004"
"476","0.004"
"477","0.004"
"478","0.004"
"479","0.004"
"480","0.004"
"481","0.008"
"482","0.008"
"483","0.006"
"484","0.006"
"485","0.006"
"486","0.006"
"487","0.006"
"488","0.006"
"489","0.006"
"490","0.004"
"491","0.004"
"492","0.004"
"493","0.004"
"494","0.004"
"495","0.004"
"496","0.004"
"497","0.006"
"498","0.014"
"499","0.006"
"500","0.006"
"501","0.006"
"502","0.006"
"503","0.006"
"504","0.006"
"505","0.006"
"506","0.006"
"507","0.006"
"508","0.006"
"509","0.006"
"510","0.006"
"511","0.006"
"512","0.006"
"513","0.01"
"514","0.01"
"515","0.006"
"516","0.006"
"517","0.006"
"518","0.006"
"519","0.006"
"520","0.006"
"521","0.004"
"522","0.006"
"523","0.004"
"524","0.004"
"525","0.004"
"526","0.004"
"527","0.004"
"528","0.004"
"529","0.006"
"530","0.008"
"531","0.004"
"532","0.004"
"533","0.004"
"534","0.004"
"535","0.004"
"536","0.004"
"537","0.008"
"538","0.008"
"539","0.004"
"540","0.004"
"541","0.004"
"542","0.004"
"543","0.004"
"544","0.004"
"545","0.006"
"546","0.012"
"547","0.006"
"548","0.006"
"549","0.006"
"550","0.006"
"551","0.006"
"552","0.006"
"553","0.034"
"554","0.058"
"555","0.034"
"556","0.034"
"557","0.034"
"558","0.034"
"559","0.034"
"560","0.034"
"561","0.004"
"562","0.006"
"563","0.002"
"564","0.002"
"565","0.002"
"566","0.002"
"567","0.002"
"568","0.002"
"569","0.004"
"570","0.004"
"571","0.004"
"572","0.004"
"573","0.004"
"574","0.004"
"575","0.004"
"576","0.004"
"577","0.002"
"578","0.006"
"579","0.002"
"580","0.002"
"581","0.002"
"582","0.002"
"583","0.002"
"584","0.002"
"585","0.002"
"586","0.006"
"587","0.002"
"588","0.002"
"589","0.002"
"590","0.002"
"591","0.002"
"592","0.002"
"593","0.002"
"594","0.002"
"595","0.002"
"596","0.002"
"597","0.002"
"598","0.002"
"599","0.002"
"600","0.002"
"601","0.002"
"602","0.002"
"603","0.002"
"604","0.002"
"605","0.002"
"606","0.002"
"607","0.002"
"608","0.002"
"609","0.006"
"610","0.012"
"611","0.008"
"612","0.006"
"613","0.006"
"614","0.006"
"615","0.006"
"616","0.006"
"617","0.004"
"618","0.006"
"619","0.002"
"620","0.002"
"621","0.002"
"622","0.002"
"623","0.002"
"624","0.002"
"625","0.002"
"626","0.006"
"627","0.002"
"628","0.002"
"629","0.002"
"630","0.002"
"631","0.002"
"632","0.002"
"633","0.006"
"634","0.006"
"635","0.004"
"636","0.004"
"637","0.004"
"638","0.004"
"639","0.004"
"640","0.004"
"641","0.004"
"642","0.004"
"643","0.004"
"644","0.004"
"645","0.004"
"646","0.004"
"647","0.004"
"648","0.004"
"649","0.006"
"650","0.008"
"651","0.004"
"652","0.004"
"653","0.004"
"654","0.004"
"655","0.004"
"656","0.004"
"657","0.006"
"658","0.008"
"659","0.004"
"660","0.004"
"661","0.004"
"662","0.004"
"663","0.004"
"664","0.004"
"665","0.012"
"666","0.018"
"667","0.014"
"668","0.014"
"669","0.014"
"670","0.014"
"671","0.014"
"672","0.014"
"673","0.002"
"674","0.004"
"675","0.004"
"676","0.004"
"677","0.004"
"678","0.004"
"679","0.004"
"680","0.004"
"681","0.006"
"682","0.006"
"683","0.006"
"684","0.006"
"685","0.006"
"686","0.006"
"687","0.006"
"688","0.006"
"689","0.002"
"690","0.002"
"691","0.002"
"692","0.002"
"693","0.002"
"694","0.002"
"695","0.002"
"696","0.002"
"697","0.006"
"698","0.006"
"699","0.006"
"700","0.006"
"701","0.006"
"702","0.006"
"703","0.006"
"704","0.006"
"705","0.006"
"706","0.006"
"707","0.006"
"708","0.006"
"709","0.006"
"710","0.006"
"711","0.006"
"712","0.006"
"713","0.002"
"714","0.002"
"715","0.002"
"716","0.002"
"717","0.002"
"718","0.002"
"719","0.002"
"720","0.002"
"721","0.008"
"722","0.008"
"723","0.008"
"724","0.008"
"725","0.008"
"726","0.008"
